ACSSF,2011e5,ma,000,0005,0000017,157630,150282,7348,1115,4071,341,345,432,6,63,20,7,73,263,0,679,110,0,49,363,94,0,28,25,10,0,365,186,131,0,48,157630,150282,136112,3585,189,7324,34,241,2797,378,2419,7348,5080,124,39,21,0,1354,730,350,380,157630,150282,7348
ACSSF,2011e5,ma,000,0005,0000018,1491762,1396818,94944,9846,29313,2414,7848,23504,676,9960,2180,590,1014,8696,388,15598,1419,830,1386,5383,1764,22,2635,252,1571,336,6421,2085,875,58,3403,1491762,1396818,1157303,62698,1434,136130,579,11827,26847,3290,23557,94944,52580,4133,440,366,33,30259,7133,3086,4047,1491762,1396818,94944
ACSSF,2011e5,ma,000,0005,0000019,10135,9527,608,62,91,0,17,416,378,0,0,0,0,38,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,10135,9527,8305,809,1,112,0,5,295,18,277,608,585,0,0,0,0,23,0,0,0,10135,9527,608
ACSSF,2011e5,ma,000,0005,0000020,666426,645158,21268,2434,6393,947,2781,2953,511,1069,442,166,194,520,51,3701,438,191,440,1196,253,84,605,56,421,17,2059,581,442,0,1036,666426,645158,540173,35954,448,56350,16,2991,9226,945,8281,21268,12982,1603,320,236,29,5372,726,535,191,666426,645158,21268
ACSSF,2011e5,ma,000,0005,0000021,492934,477370,15564,1419,7975,487,1327,1902,299,535,122,57,428,310,151,1686,211,0,39,681,84,5,505,130,20,11,768,58,260,0,450,492934,477370,417333,38892,617,6162,71,6085,8210,1611,6599,15564,8179,1715,155,149,20,4798,548,234,314,492934,477370,15564
ACSSF,2011e5,ma,000,0005,0000022,713089,573960,139129,8804,35928,2833,27365,40352,1090,8485,8330,389,802,20405,851,18095,889,378,527,11549,875,42,1905,407,1406,117,5752,731,1088,90,3843,713089,573960,345160,144851,1148,59142,243,9597,13819,1815,12004,139129,53658,13322,985,400,125,47317,23322,3107,20215,713089,573960,139129
ACSSF,2011e5,ma,000,0005,0000023,794981,722318,72663,3710,41150,692,7754,7794,340,2110,1010,312,739,3230,53,7794,275,287,379,2303,1617,29,748,1714,253,189,3769,936,282,0,2551,794981,722318,647080,28440,1117,30955,234,2523,11969,979,10990,72663,47263,2283,478,103,26,17737,4773,2340,2433,794981,722318,72663
ACSSF,2011e5,ma,000,0005,0000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0005,0000025,45486,43739,1747,187,442,118,345,227,0,0,42,0,50,135,0,305,18,0,15,0,272,0,0,0,0,0,123,30,0,0,93,45486,43739,40593,1095,337,433,0,439,842,96,746,1747,1102,59,19,0,0,462,105,83,22,45486,43739,1747
ACSSF,2011e5,ma,000,0005,0000026,19632,19344,288,23,60,21,64,65,19,32,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,55,5,32,0,18,19632,19344,18400,190,71,150,0,88,445,6,439,288,219,14,0,0,0,37,18,18,0,19632,19344,288
