ACSSF,2011e5,ma,000,0075,0000068,523,379,377,333,44,2,144
ACSSF,2011e5,ma,000,0075,0000069,1355,970,970,920,50,0,385
ACSSF,2011e5,ma,000,0075,0000070,6692,3274,3274,2986,288,0,3418
ACSSF,2011e5,ma,000,0075,0000071,727,487,487,480,7,0,240
ACSSF,2011e5,ma,000,0075,0000072,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0075,0000073,8543,5830,5824,5173,651,6,2713
ACSSF,2011e5,ma,000,0075,0000074,34727,25315,25184,23064,2120,131,9412
ACSSF,2011e5,ma,000,0075,0000075,4783,3585,3585,3259,326,0,1198
ACSSF,2011e5,ma,000,0075,0000076,28342,18044,18030,16754,1276,14,10298
ACSSF,2011e5,ma,000,0075,0000077,5626,4062,4062,3770,292,0,1564
ACSSF,2011e5,ma,000,0075,0000078,18775,13126,13109,12205,904,17,5649
ACSSF,2011e5,ma,000,0075,0000079,13419,9059,9059,8343,716,0,4360
ACSSF,2011e5,ma,000,0075,0000080,72690,43966,43921,37783,6138,45,28724
ACSSF,2011e5,ma,000,0075,0000081,7147,5360,5360,5045,315,0,1787
ACSSF,2011e5,ma,000,0075,0000082,16840,13288,13288,12340,948,0,3552
ACSSF,2011e5,ma,000,0075,0000083,74996,46865,46779,41649,5130,86,28131
ACSSF,2011e5,ma,000,0075,0000084,21794,16686,16686,15212,1474,0,5108
ACSSF,2011e5,ma,000,0075,0000085,15292,10545,10518,9347,1171,27,4747
ACSSF,2011e5,ma,000,0075,0000086,10163,7164,7142,6719,423,22,2999
ACSSF,2011e5,ma,000,0075,0000087,9300,7155,7138,6299,839,17,2145
ACSSF,2011e5,ma,000,0075,0000088,11049,7778,7757,7295,462,21,3271
ACSSF,2011e5,ma,000,0075,0000089,15312,9947,9939,9129,810,8,5365
ACSSF,2011e5,ma,000,0075,0000090,13448,9326,9326,8391,935,0,4122
ACSSF,2011e5,ma,000,0075,0000091,44806,31648,31574,28629,2945,74,13158
ACSSF,2011e5,ma,000,0075,0000092,12665,8967,8967,8018,949,0,3698
ACSSF,2011e5,ma,000,0075,0000093,332,224,224,199,25,0,108
ACSSF,2011e5,ma,000,0075,0000094,612,337,337,327,10,0,275
ACSSF,2011e5,ma,000,0075,0000095,3542,2469,2469,2321,148,0,1073
ACSSF,2011e5,ma,000,0075,0000096,178,99,99,99,0,0,79
ACSSF,2011e5,ma,000,0075,0000097,3355,2217,2217,2149,68,0,1138
ACSSF,2011e5,ma,000,0075,0000098,3192,2066,2066,1909,157,0,1126
ACSSF,2011e5,ma,000,0075,0000099,1978,1517,1517,1475,42,0,461
ACSSF,2011e5,ma,000,0075,0000100,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0075,0000101,13084,9862,9799,9062,737,63,3222
ACSSF,2011e5,ma,000,0075,0000102,25310,16844,16844,15906,938,0,8466
ACSSF,2011e5,ma,000,0075,0000103,32931,22327,22311,20905,1406,16,10604
ACSSF,2011e5,ma,000,0075,0000104,6044,4302,4302,3981,321,0,1742
ACSSF,2011e5,ma,000,0075,0000105,21411,14844,14831,13826,1005,13,6567
ACSSF,2011e5,ma,000,0075,0000106,2908,2126,2126,2044,82,0,782
ACSSF,2011e5,ma,000,0075,0000107,6134,4312,4312,4011,301,0,1822
ACSSF,2011e5,ma,000,0075,0000108,24021,15744,15744,14337,1407,0,8277
ACSSF,2011e5,ma,000,0075,0000109,4933,3483,3458,3249,209,25,1450
ACSSF,2011e5,ma,000,0075,0000110,5895,4064,4064,3858,206,0,1831
ACSSF,2011e5,ma,000,0075,0000111,47799,33454,33404,30402,3002,50,14345
ACSSF,2011e5,ma,000,0075,0000112,10730,7425,7425,6843,582,0,3305
ACSSF,2011e5,ma,000,0075,0000113,56639,33862,33862,30951,2911,0,22777
ACSSF,2011e5,ma,000,0075,0000114,70977,47169,47147,42025,5122,22,23808
ACSSF,2011e5,ma,000,0075,0000115,9063,6046,6046,5850,196,0,3017
ACSSF,2011e5,ma,000,0075,0000116,4038,2506,2506,2392,114,0,1532
ACSSF,2011e5,ma,000,0075,0000117,15335,10496,10496,10020,476,0,4839
ACSSF,2011e5,ma,000,0075,0000118,4987,3473,3473,3291,182,0,1514
ACSSF,2011e5,ma,000,0075,0000119,36655,25160,25160,23547,1613,0,11495
ACSSF,2011e5,ma,000,0075,0000120,7122,3942,3928,3608,320,14,3180
ACSSF,2011e5,ma,000,0075,0000121,2904,1992,1981,1877,104,11,912
ACSSF,2011e5,ma,000,0075,0000122,5285,3647,3633,3371,262,14,1638
ACSSF,2011e5,ma,000,0075,0000123,14250,9796,9796,9236,560,0,4454
ACSSF,2011e5,ma,000,0075,0000124,21827,14956,14946,14054,892,10,6871
ACSSF,2011e5,ma,000,0075,0000125,41941,27527,27475,25522,1953,52,14414
ACSSF,2011e5,ma,000,0075,0000126,5911,3599,3599,3326,273,0,2312
ACSSF,2011e5,ma,000,0075,0000127,4635,3257,3257,3045,212,0,1378
ACSSF,2011e5,ma,000,0075,0000128,34222,24535,24509,22007,2502,26,9687
ACSSF,2011e5,ma,000,0075,0000129,6787,4941,4941,4537,404,0,1846
ACSSF,2011e5,ma,000,0075,0000130,21828,14883,14849,13700,1149,34,6945
ACSSF,2011e5,ma,000,0075,0000131,11011,7785,7785,7372,413,0,3226
ACSSF,2011e5,ma,000,0075,0000132,4408,3028,3028,2916,112,0,1380
ACSSF,2011e5,ma,000,0075,0000133,4007,2487,2487,2293,194,0,1520
ACSSF,2011e5,ma,000,0075,0000134,3284,2216,2216,2051,165,0,1068
ACSSF,2011e5,ma,000,0075,0000135,1461,1123,1123,1052,71,0,338
ACSSF,2011e5,ma,000,0075,0000136,1861,1278,1278,1182,96,0,583
ACSSF,2011e5,ma,000,0075,0000137,1821,1228,1228,1126,102,0,593
ACSSF,2011e5,ma,000,0075,0000138,978,657,654,593,61,3,321
ACSSF,2011e5,ma,000,0075,0000139,1403,1037,1037,970,67,0,366
ACSSF,2011e5,ma,000,0075,0000140,1478,1102,1102,1024,78,0,376
ACSSF,2011e5,ma,000,0075,0000141,4204,3059,3059,2844,215,0,1145
ACSSF,2011e5,ma,000,0075,0000142,1349,976,976,872,104,0,373
ACSSF,2011e5,ma,000,0075,0000143,1220,828,828,782,46,0,392
ACSSF,2011e5,ma,000,0075,0000144,14575,9608,9608,8722,886,0,4967
ACSSF,2011e5,ma,000,0075,0000145,336,242,242,223,19,0,94
ACSSF,2011e5,ma,000,0075,0000146,417,259,259,241,18,0,158
ACSSF,2011e5,ma,000,0075,0000147,1473,1020,1020,988,32,0,453
ACSSF,2011e5,ma,000,0075,0000148,539,405,405,386,19,0,134
ACSSF,2011e5,ma,000,0075,0000149,111,83,83,71,12,0,28
ACSSF,2011e5,ma,000,0075,0000150,7032,4492,4484,4152,332,8,2540
ACSSF,2011e5,ma,000,0075,0000151,802,566,566,532,34,0,236
ACSSF,2011e5,ma,000,0075,0000152,2507,1790,1790,1709,81,0,717
ACSSF,2011e5,ma,000,0075,0000153,6227,3888,3888,3378,510,0,2339
ACSSF,2011e5,ma,000,0075,0000154,341,191,191,165,26,0,150
ACSSF,2011e5,ma,000,0075,0000155,1702,1165,1160,1091,69,5,537
ACSSF,2011e5,ma,000,0075,0000156,1470,1127,1127,1069,58,0,343
ACSSF,2011e5,ma,000,0075,0000157,3219,2328,2328,2249,79,0,891
ACSSF,2011e5,ma,000,0075,0000158,531,377,377,348,29,0,154
ACSSF,2011e5,ma,000,0075,0000159,948,666,666,600,66,0,282
ACSSF,2011e5,ma,000,0075,0000160,1342,1084,1084,1036,48,0,258
ACSSF,2011e5,ma,000,0075,0000161,23390,16229,16195,15258,937,34,7161
ACSSF,2011e5,ma,000,0075,0000162,975,745,741,700,41,4,230
ACSSF,2011e5,ma,000,0075,0000163,2805,2089,2089,1920,169,0,716
ACSSF,2011e5,ma,000,0075,0000164,1066,740,740,675,65,0,326
ACSSF,2011e5,ma,000,0075,0000165,45041,28424,28198,25305,2893,226,16617
ACSSF,2011e5,ma,000,0075,0000166,12198,8265,8261,7813,448,4,3933
ACSSF,2011e5,ma,000,0075,0000167,1190,862,855,801,54,7,328
ACSSF,2011e5,ma,000,0075,0000168,4306,2944,2944,2736,208,0,1362
ACSSF,2011e5,ma,000,0075,0000169,2107,1529,1529,1428,101,0,578
ACSSF,2011e5,ma,000,0075,0000170,30876,17751,17695,15130,2565,56,13125
ACSSF,2011e5,ma,000,0075,0000171,12332,7721,7721,7452,269,0,4611
ACSSF,2011e5,ma,000,0075,0000172,17622,10492,10492,9679,813,0,7130
ACSSF,2011e5,ma,000,0075,0000173,6864,4945,4945,4493,452,0,1919
ACSSF,2011e5,ma,000,0075,0000174,639,492,492,449,43,0,147
ACSSF,2011e5,ma,000,0075,0000175,9887,6525,6494,5766,728,31,3362
ACSSF,2011e5,ma,000,0075,0000176,1386,993,993,916,77,0,393
ACSSF,2011e5,ma,000,0075,0000177,7671,5395,5363,5051,312,32,2276
ACSSF,2011e5,ma,000,0075,0000178,117197,67656,67581,58346,9235,75,49541
ACSSF,2011e5,ma,000,0075,0000179,341,226,226,202,24,0,115
ACSSF,2011e5,ma,000,0075,0000180,1591,1158,1158,1074,84,0,433
ACSSF,2011e5,ma,000,0075,0000181,33420,20313,20277,18803,1474,36,13107
ACSSF,2011e5,ma,000,0075,0000182,22850,15372,15372,13880,1492,0,7478
ACSSF,2011e5,ma,000,0075,0000183,11515,7503,7503,6911,592,0,4012
ACSSF,2011e5,ma,000,0075,0000184,34649,19604,19593,17445,2148,11,15045
ACSSF,2011e5,ma,000,0075,0000185,11362,8493,8493,8031,462,0,2869
ACSSF,2011e5,ma,000,0075,0000186,916,677,677,631,46,0,239
ACSSF,2011e5,ma,000,0075,0000187,873,565,565,534,31,0,308
ACSSF,2011e5,ma,000,0075,0000188,13608,10077,10077,9424,653,0,3531
ACSSF,2011e5,ma,000,0075,0000189,925,687,687,666,21,0,238
ACSSF,2011e5,ma,000,0075,0000190,4969,3517,3491,3363,128,26,1452
ACSSF,2011e5,ma,000,0075,0000191,4347,2953,2953,2820,133,0,1394
ACSSF,2011e5,ma,000,0075,0000192,2754,1779,1779,1661,118,0,975
ACSSF,2011e5,ma,000,0075,0000193,1761,1262,1262,1190,72,0,499
ACSSF,2011e5,ma,000,0075,0000194,373,278,278,266,12,0,95
ACSSF,2011e5,ma,000,0075,0000195,24530,16591,16574,15311,1263,17,7939
ACSSF,2011e5,ma,000,0075,0000196,1109,771,771,741,30,0,338
ACSSF,2011e5,ma,000,0075,0000197,527,321,321,278,43,0,206
ACSSF,2011e5,ma,000,0075,0000198,4647,3380,3362,3239,123,18,1267
ACSSF,2011e5,ma,000,0075,0000199,14864,9708,9674,9006,668,34,5156
ACSSF,2011e5,ma,000,0075,0000200,7900,5305,5295,4627,668,10,2595
ACSSF,2011e5,ma,000,0075,0000201,1313,991,988,941,47,3,322
ACSSF,2011e5,ma,000,0075,0000202,2198,1500,1500,1442,58,0,698
ACSSF,2011e5,ma,000,0075,0000203,1004,685,685,634,51,0,319
ACSSF,2011e5,ma,000,0075,0000204,15987,11438,11438,10900,538,0,4549
ACSSF,2011e5,ma,000,0075,0000205,34571,24984,24957,23747,1210,27,9587
ACSSF,2011e5,ma,000,0075,0000206,2382,1764,1764,1652,112,0,618
ACSSF,2011e5,ma,000,0075,0000207,12622,9903,9903,9309,594,0,2719
ACSSF,2011e5,ma,000,0075,0000208,6166,4232,4192,3652,540,40,1934
ACSSF,2011e5,ma,000,0075,0000209,10155,6738,6612,6216,396,126,3417
ACSSF,2011e5,ma,000,0075,0000210,19395,13097,13084,12552,532,13,6298
ACSSF,2011e5,ma,000,0075,0000211,31227,23114,23014,21491,1523,100,8113
ACSSF,2011e5,ma,000,0075,0000212,3913,2832,2832,2640,192,0,1081
ACSSF,2011e5,ma,000,0075,0000213,19183,13989,13930,12814,1116,59,5194
ACSSF,2011e5,ma,000,0075,0000214,92054,63071,62760,59018,3742,311,28983
ACSSF,2011e5,ma,000,0075,0000215,3568,2249,2249,2051,198,0,1319
ACSSF,2011e5,ma,000,0075,0000216,26534,18293,18225,16984,1241,68,8241
ACSSF,2011e5,ma,000,0075,0000217,14058,7737,7737,7401,336,0,6321
ACSSF,2011e5,ma,000,0075,0000218,23600,17489,17477,16257,1220,12,6111
ACSSF,2011e5,ma,000,0075,0000219,2342,1717,1717,1634,83,0,625
ACSSF,2011e5,ma,000,0075,0000220,33087,23761,23747,21289,2458,14,9326
ACSSF,2011e5,ma,000,0075,0000221,55068,38992,38978,36657,2321,14,16076
ACSSF,2011e5,ma,000,0075,0000222,7806,5503,5503,5271,232,0,2303
ACSSF,2011e5,ma,000,0075,0000223,10439,7583,7573,7101,472,10,2856
ACSSF,2011e5,ma,000,0075,0000224,10528,7403,7403,7080,323,0,3125
ACSSF,2011e5,ma,000,0075,0000225,15196,10981,10981,10133,848,0,4215
ACSSF,2011e5,ma,000,0075,0000226,24173,15512,15505,14835,670,7,8661
ACSSF,2011e5,ma,000,0075,0000227,4661,3229,2841,2768,73,388,1432
ACSSF,2011e5,ma,000,0075,0000228,6733,4414,4399,4210,189,15,2319
ACSSF,2011e5,ma,000,0075,0000229,84739,56327,56250,50859,5391,77,28412
ACSSF,2011e5,ma,000,0075,0000230,48726,34792,34751,31070,3681,41,13934
ACSSF,2011e5,ma,000,0075,0000231,31443,23556,23530,22084,1446,26,7887
ACSSF,2011e5,ma,000,0075,0000232,8060,5930,5930,5573,357,0,2130
ACSSF,2011e5,ma,000,0075,0000233,48023,33504,33489,31003,2486,15,14519
ACSSF,2011e5,ma,000,0075,0000234,21610,15201,15201,14340,861,0,6409
ACSSF,2011e5,ma,000,0075,0000235,25573,18572,18513,17703,810,59,7001
ACSSF,2011e5,ma,000,0075,0000236,68403,45123,45123,43030,2093,0,23280
ACSSF,2011e5,ma,000,0075,0000237,11435,8141,8141,7495,646,0,3294
ACSSF,2011e5,ma,000,0075,0000238,9052,7046,7046,6710,336,0,2006
ACSSF,2011e5,ma,000,0075,0000239,18772,13561,13530,12815,715,31,5211
ACSSF,2011e5,ma,000,0075,0000240,3063,2092,2092,2034,58,0,971
ACSSF,2011e5,ma,000,0075,0000241,6013,3010,3010,2863,147,0,3003
ACSSF,2011e5,ma,000,0075,0000242,67040,50435,50360,47073,3287,75,16605
ACSSF,2011e5,ma,000,0075,0000243,17737,12113,12104,11274,830,9,5624
ACSSF,2011e5,ma,000,0075,0000244,4930,3753,3753,3551,202,0,1177
ACSSF,2011e5,ma,000,0075,0000245,12648,8516,8516,8042,474,0,4132
ACSSF,2011e5,ma,000,0075,0000246,23086,16047,16047,15021,1026,0,7039
ACSSF,2011e5,ma,000,0075,0000247,6785,4819,4819,4456,363,0,1966
ACSSF,2011e5,ma,000,0075,0000248,8865,6613,6613,6042,571,0,2252
ACSSF,2011e5,ma,000,0075,0000249,20234,15136,15129,13929,1200,7,5098
ACSSF,2011e5,ma,000,0075,0000250,53017,35968,35929,34217,1712,39,17049
ACSSF,2011e5,ma,000,0075,0000251,27801,20006,20006,18641,1365,0,7795
ACSSF,2011e5,ma,000,0075,0000252,9923,6505,6505,6172,333,0,3418
ACSSF,2011e5,ma,000,0075,0000253,16094,11611,11611,10899,712,0,4483
