ACSSF,2011e5,ma,000,0071,0000011,55793,6321,1577,4744,49472,21699,27773,55793,6321,2788,672,2051,306,1745,65,3533,299,536,96,440,2698,49472,11855,8184,3572,1056,2516,99,37617,14906,2761,780,1981,19950,55793,6321,3295,3026,49472,3716,45756,53263,5658,47605,1070,373,697,102,17,85,531,39,492,23,0,23,277,61,216,527,173,354,52371,5368,47003,1217,370,847,32981,3558,971,286,300,270,232,38,115,103,12,2587,402,75,258,69,0,2185,472,1409,262,42,29423,23090,3525,4842,11439,10896,543,3284,3164,120,6333,1836,195,1009,555,77,4497,372,2642,1104,379,48705,15288,54088
ACSSF,2011e5,ma,000,0071,0000012,210536,26293,7192,19101,184243,66096,118147,210536,26293,12938,2949,9905,1443,8462,84,13355,1932,2202,375,1827,9221,184243,56820,41128,15173,3787,11386,519,127423,55592,12365,3918,8447,59466,210536,26293,13466,12827,184243,12823,171420,192615,21157,171458,6399,1937,4462,387,148,239,3139,368,2771,0,0,0,5061,1805,3256,2935,878,2057,186831,19069,167762,9642,3966,5676,141246,16988,4881,1187,1680,1416,1067,349,598,480,118,12107,1818,408,1058,295,57,10289,3527,5497,955,310,124258,96720,11203,18685,49835,45735,4100,16997,15876,1121,27538,7705,597,4032,2469,607,19833,2003,9820,6466,1544,55813,16949,63327
ACSSF,2011e5,ma,000,0071,0000013,5568,196,86,110,5372,2235,3137,5568,196,46,16,30,0,30,0,150,0,18,0,18,132,5372,1611,1117,494,48,446,0,3761,1872,172,15,157,1717,5568,196,100,96,5372,527,4845,5313,174,5139,122,9,113,40,4,36,22,0,22,0,0,0,12,0,12,59,9,50,5309,174,5135,4,0,4,3719,64,16,0,0,16,16,0,0,0,0,48,0,0,0,0,0,48,5,24,15,4,3655,2989,317,604,1681,1600,81,387,354,33,666,63,28,25,10,0,603,157,329,107,10,69760,14808,73684
ACSSF,2011e5,ma,000,0071,0000014,284940,29083,9374,19709,255857,92437,163420,284940,29083,14245,3122,11033,1393,9640,90,14838,1705,2738,708,2030,10395,255857,82673,61500,20717,5418,15299,456,173184,71675,16690,5570,11120,84819,284940,29083,15185,13898,255857,17054,238803,242295,17320,224975,8555,2040,6515,575,219,356,6635,814,5821,22,0,22,22949,7589,15360,3909,1101,2808,231470,13835,217635,37178,12516,24662,189180,18598,4827,1403,1223,1634,1262,372,567,442,125,13771,2101,516,1059,449,77,11670,3387,6245,1644,394,170582,133175,13582,28297,68758,63866,4892,22538,20930,1608,37407,10988,1036,5010,3884,1058,26419,2360,13436,8265,2358,65785,15893,73174
ACSSF,2011e5,ma,000,0071,0000015,30362,3333,770,2563,27029,10209,16820,30362,3333,1626,444,1122,192,930,60,1707,183,237,50,187,1287,27029,7020,4727,2210,622,1588,83,20009,8490,1360,425,935,10159,30362,3333,1760,1573,27029,1680,25349,29341,3119,26222,240,34,206,23,11,12,345,55,290,0,0,0,115,7,108,298,107,191,28940,3052,25888,569,136,433,18773,1986,627,129,97,257,192,65,144,90,54,1359,242,57,159,23,3,1117,404,581,101,31,16787,13217,1710,2412,7166,6787,379,1929,1824,105,3570,1047,24,671,275,77,2523,248,1455,669,151,52246,17442,58110
ACSSF,2011e5,ma,000,0071,0000016,177954,32982,7804,25178,144972,55332,89640,177954,32982,17532,4235,13089,1451,11638,208,15450,1914,3124,647,2477,10412,144972,42424,28582,13380,3871,9509,462,102548,41487,9890,3078,6812,51171,177954,32982,17923,15059,144972,11026,133946,145643,19918,125725,13695,4343,9352,362,144,218,2517,530,1987,0,0,0,13243,7374,5869,2494,673,1821,131007,11757,119250,29729,16441,13288,115701,22362,6149,1526,2234,1738,1271,467,651,431,220,16213,2098,684,1064,264,86,14115,5526,6649,1555,385,93339,70069,9232,14244,34867,32022,2845,11726,10951,775,23270,6949,649,3729,1993,578,16321,2074,8381,4457,1409,48866,15816,58993
ACSSF,2011e5,ma,000,0071,0000017,58921,4008,865,3143,54913,19603,35310,58921,4008,1772,398,1342,84,1258,32,2236,167,290,51,239,1779,54913,14207,10516,3594,1035,2559,97,40706,15644,2662,752,1910,22400,58921,4008,2228,1780,54913,4730,50183,55185,3340,51845,760,206,554,165,44,121,1706,81,1625,0,0,0,471,157,314,634,180,454,53832,2986,50846,1991,571,1420,34613,2197,565,88,159,229,173,56,89,89,0,1632,135,54,71,10,0,1497,449,909,104,35,32416,26160,2807,4521,14678,14163,515,4154,3958,196,6256,1787,67,1079,507,134,4469,398,2412,1301,358,60331,13106,64491
ACSSF,2011e5,ma,000,0071,0000018,577349,31949,11270,20679,545400,176769,368631,577349,31949,14256,4383,9668,1129,8539,205,17693,2712,3102,741,2361,11879,545400,167624,135466,31538,7181,24357,620,377776,150598,29997,9420,20577,197181,577349,31949,15347,16602,545400,32776,512624,488618,21784,466834,23151,3494,19657,912,157,755,42892,2536,40356,109,54,55,13258,2833,10425,8409,1091,7318,473680,19930,453750,27519,5206,22313,367464,19865,7095,1562,2174,2295,1695,600,1064,806,258,12770,1870,477,938,360,95,10900,3916,5110,1431,443,347599,286064,25660,60556,155327,146016,9311,44521,41075,3446,61535,16601,1166,7438,5711,2286,44934,4310,22781,13821,4022,79691,17315,83534
ACSSF,2011e5,ma,000,0071,0000019,3745,70,37,33,3675,1071,2604,3745,70,18,18,0,0,0,0,52,0,7,0,7,45,3675,1335,1026,309,25,284,0,2340,871,216,117,99,1253,3745,70,31,39,3675,162,3513,3444,65,3379,187,0,187,0,0,0,21,5,16,0,0,0,0,0,0,93,0,93,3233,65,3168,211,0,211,2447,25,18,0,0,18,18,0,0,0,0,7,0,0,0,0,0,7,0,0,7,0,2422,1897,205,249,1269,1260,9,174,174,0,525,142,0,43,17,82,383,77,236,53,17,84979,13684,85941
ACSSF,2011e5,ma,000,0071,0000020,255944,12092,4562,7530,243852,86786,157066,255944,12092,5424,1675,3706,421,3285,43,6668,1290,896,265,631,4482,243852,79279,64154,14663,3570,11093,462,164573,68570,13829,4095,9734,82174,255944,12092,5464,6628,243852,13357,230495,221076,8815,212261,12599,1369,11230,172,29,143,17766,1298,16468,2,0,2,2228,327,1901,2101,254,1847,217338,8516,208822,5760,743,5017,168783,7567,2965,881,708,845,578,267,531,468,63,4602,686,124,293,244,25,3916,1358,1788,554,216,161216,132724,12642,28585,69120,64622,4498,22377,20779,1598,28492,7665,760,3318,2796,791,20827,1781,10442,6524,2080,83733,17215,87594
ACSSF,2011e5,ma,000,0071,0000021,178996,12963,3908,9055,166033,61949,104084,178996,12963,6641,1746,4725,691,4034,170,6322,649,1373,303,1070,4300,166033,58090,44510,13159,3351,9808,421,107943,50816,9185,2580,6605,47942,178996,12963,5821,7142,166033,8270,157763,159172,9128,150044,12508,2452,10056,283,25,258,1584,156,1428,12,0,12,3291,875,2416,2146,327,1819,157075,8751,148324,4231,955,3276,126163,8493,2395,285,600,1019,703,316,491,373,118,6098,994,239,512,182,61,5104,1496,2575,841,192,117670,95326,9404,20193,47821,44047,3774,17908,16405,1503,22344,5931,383,2906,1948,694,16413,1360,8561,4830,1662,74698,19739,78903
ACSSF,2011e5,ma,000,0071,0000022,286437,44933,14999,29934,241504,61649,179855,286437,44933,20611,3992,16610,1802,14808,9,24322,2929,4192,895,3297,17201,241504,51665,30131,21116,4403,16713,418,189839,43149,18156,5912,12244,128534,286437,44933,26183,18750,241504,33069,208435,176616,15908,160708,58089,16032,42057,779,235,544,22038,3853,18185,173,21,152,18112,6224,11888,10630,2660,7970,159626,11596,148030,43514,13909,29605,140275,27723,6921,1882,1945,2363,1648,715,731,480,251,20802,2697,645,1303,656,93,18105,6028,8969,2395,713,112552,73280,6300,14806,40901,37355,3546,11273,9914,1359,39272,10315,487,4192,4209,1427,28957,2594,14299,8942,3122,51638,13694,61225
ACSSF,2011e5,ma,000,0071,0000023,299089,29161,7804,21357,269928,88549,181379,299089,29161,14375,3504,10754,1140,9614,117,14786,1615,2831,841,1990,10340,269928,89565,68572,20066,5995,14071,927,180363,79277,15560,5212,10348,85526,299089,29161,15230,13931,269928,15844,254084,268948,22878,246070,9976,1754,8222,496,143,353,9905,934,8971,57,0,57,6091,2360,3731,3616,1092,2524,254846,17642,237204,21258,8386,12872,202179,18704,5119,1019,1688,1782,1415,367,630,555,75,13585,1981,678,966,303,34,11604,3878,6122,1229,375,183475,147849,14327,28891,79553,74310,5243,25078,23426,1652,35626,11207,969,5986,3396,856,24419,2545,12783,7123,1968,65772,16329,72098
ACSSF,2011e5,ma,000,0071,0000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
