ACSSF,2011e5,ma,000,0012,0000014,166345,51460,35061,34472,589,25393,5497,5215,282,4171,4171,0,16399,16207,192,11163,5236,5066,170,114885,78112,73997,4115,59528,12102,8920,3182,6482,6146,336,36773,34130,2643,25413,11360,8861,2499,166345,23202,4192,1817,1866,509,19010,12050,6960,24190,10565,4990,4126,1449,13625,7956,5669,118953,98416,78114,11607,8695,20537,16570,3967,739505,630712,108793
ACSSF,2011e5,ma,000,0012,0000015,13482,3724,2469,2460,9,2222,80,80,0,167,167,0,1255,1255,0,1206,49,49,0,9758,6382,6228,154,5990,189,84,105,203,200,3,3376,3326,50,3291,85,63,22,13482,1975,437,376,41,20,1538,1446,92,2779,1607,1485,96,26,1172,1148,24,8728,6807,6351,132,324,1921,1903,18,71495,68539,2956
ACSSF,2011e5,ma,000,0012,0000016,104063,32571,17321,16974,347,13610,2487,2239,248,1224,1224,0,15250,15185,65,13856,1394,1351,43,71492,40171,38303,1868,32341,4508,2829,1679,3322,3283,39,31321,30759,562,28805,2516,1968,548,104063,25571,5148,3479,1265,404,20423,18620,1803,22452,9387,6063,2412,912,13065,11793,1272,56040,42957,36409,3318,3230,13083,12248,835,462752,422971,39781
ACSSF,2011e5,ma,000,0012,0000017,25805,7487,5445,5345,100,4615,492,421,71,338,328,10,2042,2016,26,1912,130,130,0,18318,12812,12418,394,11172,878,540,338,762,759,3,5506,5277,229,5117,389,246,143,25805,3101,843,336,455,52,2258,2120,138,3200,1447,1215,185,47,1753,1588,165,19504,15967,14236,730,1001,3537,3321,216,157630,144852,12778
ACSSF,2011e5,ma,000,0012,0000018,311077,101228,82102,79699,2403,51390,20611,18719,1892,10101,10055,46,19126,18748,378,13712,5414,5166,248,209849,162738,151112,11626,115263,31975,22044,9931,15500,15092,408,47111,43511,3600,34567,12544,9639,2905,311077,23665,6054,2507,3243,304,17611,12222,5389,33672,19176,7633,9982,1561,14496,9254,5242,253740,219610,156513,39361,23736,34130,26803,7327,1491762,1212282,279480
ACSSF,2011e5,ma,000,0012,0000019,1964,646,492,492,0,340,99,99,0,53,53,0,154,154,0,123,31,31,0,1318,976,959,17,699,101,89,12,176,176,0,342,342,0,270,72,72,0,1964,92,12,0,12,0,80,76,4,120,45,33,12,0,75,69,6,1752,1411,1006,176,229,341,248,93,10135,8714,1421
ACSSF,2011e5,ma,000,0012,0000020,148323,44935,37686,36559,1127,25996,7625,6758,867,4065,4016,49,7249,7036,213,5376,1873,1754,119,103388,83005,79098,3907,62655,12650,9716,2934,7700,7330,370,20383,19450,933,16441,3942,3178,764,148323,9217,2648,1163,1374,111,6569,5168,1401,12126,6465,3735,2240,490,5661,4409,1252,126980,111578,83753,16661,11164,15402,12240,3162,666426,566430,99996
ACSSF,2011e5,ma,000,0012,0000021,115324,34452,25807,25635,172,21783,2279,2227,52,1745,1708,37,8645,8402,243,6866,1779,1562,217,80872,60057,58687,1370,52428,4218,3310,908,3411,3243,168,20815,19893,922,16832,3983,3121,862,115324,8912,1970,1236,549,185,6942,5363,1579,14488,7058,4896,1714,448,7430,5375,2055,91924,76836,68079,4234,4523,15088,12960,2128,492934,453577,39357
ACSSF,2011e5,ma,000,0012,0000022,120419,45011,23095,22282,813,10497,8993,8251,742,3605,3584,21,21916,21556,360,13147,8769,8450,319,75408,32359,27888,4471,13023,14881,10846,4035,4455,4232,223,43049,39239,3810,24937,18112,14481,3631,120419,33546,5688,1122,4151,415,27858,16627,11231,27387,10273,1892,7181,1200,17114,8840,8274,59486,39493,20506,12542,6445,19993,12617,7376,713089,514884,198205
ACSSF,2011e5,ma,000,0012,0000023,180610,55288,39521,38965,556,29295,6243,5928,315,3983,3946,37,15767,15551,216,13260,2507,2362,145,125322,90493,86440,4053,73447,10693,7628,3065,6353,5947,406,34829,32901,1928,28933,5896,4122,1774,180610,22253,5175,2912,1679,584,17078,13821,3257,25084,12908,8581,3050,1277,12176,9440,2736,133273,111931,91249,12207,8475,21342,18932,2410,794981,707966,87015
