ACSSF,2011e5,ma,000,0042,0000037,0,0,0,0,0,0,0,1844,298,33,101,105,59,1546,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000038,66,2,0,0,0,2,64,2763,378,10,120,82,166,2385,2,2,0,0,2,0,0
ACSSF,2011e5,ma,000,0042,0000039,471,255,0,134,86,35,216,21522,3216,574,980,590,1072,18306,625,192,6,102,84,0,433
ACSSF,2011e5,ma,000,0042,0000040,106,35,0,30,5,0,71,7865,1843,118,763,561,401,6022,153,18,0,12,5,1,135
ACSSF,2011e5,ma,000,0042,0000041,5,2,0,0,2,0,3,491,88,11,34,24,19,403,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000042,26,16,0,4,12,0,10,1664,301,23,182,33,63,1363,4,0,0,0,0,0,4
ACSSF,2011e5,ma,000,0042,0000043,30,16,11,0,5,0,14,3140,671,129,280,155,107,2469,12,0,0,0,0,0,12
ACSSF,2011e5,ma,000,0042,0000044,0,0,0,0,0,0,0,1769,417,33,213,99,72,1352,11,0,0,0,0,0,11
ACSSF,2011e5,ma,000,0042,0000045,7,0,0,0,0,0,7,6391,1459,142,600,423,294,4932,39,8,0,8,0,0,31
ACSSF,2011e5,ma,000,0042,0000046,19,12,2,0,10,0,7,984,95,18,35,17,25,889,12,4,0,3,1,0,8
ACSSF,2011e5,ma,000,0042,0000047,28,16,0,0,16,0,12,610,129,11,49,38,31,481,6,1,0,0,1,0,5
ACSSF,2011e5,ma,000,0042,0000048,255,121,28,43,19,31,134,5695,1351,43,376,325,607,4344,681,132,0,83,0,49,549
ACSSF,2011e5,ma,000,0042,0000049,6,3,0,3,0,0,3,673,174,25,79,40,30,499,6,4,0,1,3,0,2
ACSSF,2011e5,ma,000,0042,0000050,16,11,3,8,0,0,5,2021,378,75,189,84,30,1643,5,5,0,5,0,0,0
ACSSF,2011e5,ma,000,0042,0000051,0,0,0,0,0,0,0,2941,690,80,358,146,106,2251,21,0,0,0,0,0,21
ACSSF,2011e5,ma,000,0042,0000052,1,0,0,0,0,0,1,5578,1309,183,383,352,391,4269,95,45,0,0,12,33,50
ACSSF,2011e5,ma,000,0042,0000053,60,0,0,0,0,0,60,4436,1101,103,508,347,143,3335,152,104,32,4,41,27,48
ACSSF,2011e5,ma,000,0042,0000054,0,0,0,0,0,0,0,741,132,21,75,28,8,609,31,0,0,0,0,0,31
ACSSF,2011e5,ma,000,0042,0000055,0,0,0,0,0,0,0,143,31,0,12,11,8,112,3,3,0,0,0,3,0
ACSSF,2011e5,ma,000,0042,0000056,0,0,0,0,0,0,0,220,44,2,20,10,12,176,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000057,18,12,0,0,6,6,6,1416,327,53,150,54,70,1089,30,1,0,0,1,0,29
ACSSF,2011e5,ma,000,0042,0000058,310,107,5,64,38,0,203,12062,3139,305,687,636,1511,8923,409,130,5,14,21,90,279
ACSSF,2011e5,ma,000,0042,0000059,24,15,0,15,0,0,9,1128,114,7,54,25,28,1014,21,5,0,5,0,0,16
ACSSF,2011e5,ma,000,0042,0000060,8,5,0,4,0,1,3,802,169,22,61,35,51,633,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000061,1113,497,88,192,118,99,616,37387,7628,813,3156,1778,1881,29759,2111,916,161,440,207,108,1195
ACSSF,2011e5,ma,000,0042,0000062,3,0,0,0,0,0,3,1606,311,25,137,83,66,1295,22,11,3,5,3,0,11
ACSSF,2011e5,ma,000,0042,0000063,12,11,0,8,0,3,1,904,180,15,73,57,35,724,9,2,0,0,2,0,7
ACSSF,2011e5,ma,000,0042,0000064,7,3,0,0,3,0,4,686,145,17,65,36,27,541,4,4,4,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000065,32,25,0,10,0,15,7,3018,650,49,336,160,105,2368,49,0,0,0,0,0,49
